country,date,title,url
"BGD",2014-01-11,"Kim Jong Un's New Year Address Supported by Bulgarian, Bangladeshi Figures",http://www.kcna.co.jp/item/2014/201401/news11/20140111-03ee.html
"BGD",2014-01-19,"Congratulations to Bangladeshi PM",http://www.kcna.co.jp/item/2014/201401/news19/20140119-10ee.html
"BGD",2014-01-31,"Kim Jong Un Receives New Year Cards from Foreign Party, State Leaders",http://www.kcna.co.jp/item/2014/201401/news31/20140131-08ee.html
"BGD",2014-02-02,"Open Letter of NDC of DPRK Supported by Bangladeshi Political Party",http://www.kcna.co.jp/item/2014/201402/news02/20140202-05ee.html
"BGD",2014-01-22,"Day of Shining Star to Be Commemorated in Bangladesh",http://www.kcna.co.jp/item/2014/201401/news22/20140122-02ee.html
"BGD",2014-01-10,"Kim Jong Un's New Year Address Introduced by Bangladeshi Organization",http://www.kcna.co.jp/item/2014/201401/news10/20140110-02ee.html
"BGD",2014-01-10,"Kim Jong Un's New Year Address Studied in Various Countries",http://www.kcna.co.jp/item/2014/201401/news10/20140110-04ee.html
"BGR",2014-03-03,"Greetings to Bulgarian President",http://www.kcna.co.jp/item/2014/201403/news03/20140303-13ee.html
"BGR",2014-01-11,"Kim Jong Un's New Year Address Introduced by Bulgarian Organization",http://www.kcna.co.jp/item/2014/201401/news11/20140111-02ee.html
"BGR",2014-01-22,"Kim Jong Un's New Year Address Studied and Disseminated in Bulgaria, Ethiopia",http://www.kcna.co.jp/item/2014/201401/news22/20140122-01ee.html
"USA",2014-01-13,"Koreans in U.S. Urge S. Korean Chief Executive to Step Down",http://www.kcna.co.jp/item/2014/201401/news13/20140113-09ee.html
"USA",2014-01-09,"Kim Jong Un's New Year Address Praised by British Organizations",http://www.kcna.co.jp/item/2014/201401/news09/20140109-05ee.html
"USA",2014-01-28,"It Is Trend of Times to Opt for Independence and Justice: Rodong Sinmun",http://www.kcna.co.jp/item/2014/201401/news28/20140128-09ee.html
